name,address,price,comment
天府茶坊,'茶馆|中和',人均,条评价
顺龙茶楼,'茶馆|蛟龙港/海滨城',人均,条评价
春夏秋冬茶楼,'茶馆|华阳',人均,'2'条评价
杠上花茶坊,'茶馆|航空港',人均,条评价
聚缘堂茶府,'茶馆|华阳',人均,条评价
谦谦予阅茶业,'茶馆|华阳',人均,条评价
ltssd茶楼,'茶馆|双流机场',人均,条评价
禅悦茶府,'茶馆|东升镇',人均,'5'条评价
誉府茶楼,'茶馆|东升镇',人均,条评价
和韵茶坊,'茶馆|华阳',人均,条评价
素若茶空间,'茶馆|东升镇',人均,条评价
逸锦阁茶府,'茶馆|天府新区',人均,条评价
兰亭茶坊(府滨北路店),'茶馆|中和',人均,条评价
宜心茶楼,'茶馆|东升镇',人均,条评价
喜悦茶坊,'茶馆|华阳',人均,'2'条评价
谊合茶楼,'茶馆|天府新区',人均,条评价
兄弟茶楼(西航港新街店),'茶馆|四川大学江安校区',人均,条评价
天颐轩茶楼,'茶馆|双流区其他',人均,条评价
东方休闲茶楼,'茶馆|东升镇',人均,'2'条评价
名人坊茶楼(双流广场店),'茶馆|东升镇',人均,条评价
意苑茶坊,'茶馆|中和',人均,条评价
香楠湖茶楼,'茶馆|东升镇',人均,条评价
顺怡茶坊,'茶馆|益州国际广场',人均,条评价
天天乐茶楼,'茶馆|益州国际广场',人均,'2'条评价
印象茶舍,'茶馆|华阳',人均,条评价
鸿运茶楼,'茶馆|华阳',人均,条评价
老茶馆凉糕(黄龙溪店),'茶馆|黄龙溪',人均,条评价
三生阁茶楼,'茶馆|天府新区',人均,条评价
海棠阁茶府,'茶馆|东升镇',人均,条评价
上岛茶楼,'茶馆|航空港',人均,条评价
四季苑,'茶馆|双流区其他',人均,条评价
满庭芳茶艺馆,'茶馆|华阳',人均,条评价
森和茶艺,'茶馆|双流区其他',人均,条评价
红园茶楼,'茶馆|天府新区',人均,条评价
雅兰茶韵,'茶馆|天府新区',人均,条评价
大轮胎茶楼,'茶馆|双流万达',人均'￥40','8'条评价
鑫玺茶楼,'茶馆|双流区其他',人均,条评价
上锦茶府,'茶馆|中和',人均,条评价
茗鼎茶空间,'茶馆|东升镇',人均,条评价
焜焜茶坊,'茶馆|天府新区',人均,条评价
隔壁子茶楼,'茶馆|华阳',人均,条评价
锦湖轩茶楼,'茶馆|东升镇',人均,条评价
十里亭茶楼,'茶馆|东升镇',人均,条评价
壹界茶咖,'茶馆|天府新区',人均,条评价
